2017年11月05日 22:41	请叫我王太阳	读到了最后，不知道为什么会流泪，在想自己是不是很矫情，然后又很期待郝回归，刘大志，微笑，陈桐，叮当，陈小武接下来会发生什么，相信同哥说的“我们定会再见”@刘同 @刘同同学后援会 2沈阳·沈阳化工大学 ​
2017年11月06日 20:17	锁不住的天空_a	看完了这本书…其实我在想 有件事我是不是错了……36岁的刘大志以郝回归的身份回到了刘大志17岁的时光，被17岁时的自己感动微笑 叮当 陈桐 刘大志 陈小武……他们五个人的高中岁月 哪怕明知头破血流也会迎难而上的青春。愿我们现在所有的努力 能够帮助我们在未来不会成为自己讨厌的模样。2017 ​ 展开全文c
2017年11月06日 22:34	吴柳icon	读完了好舍不得，舍不得越来越懂事的刘大志、坚强懂事最后面对真实的自己的微笑。自己为自己做了重大决定，面对另一个自己的陈桐。还有经过自己努力成功了的陈小武和放下以前的观念去接纳和了解陈小武。红了了好多次眼眶，笑了好多次。我希望自己能变成一个自己想要变成的自己，保持现在的热情、善良、 ​ 展开全文c
2017年11月07日 14:45	冬2不语	《向着光亮那方》 喜欢一本书可能是因为文风，也可能是因为它恰好写到过你相似的故事，在里面你可能会找到你面对问题的解决办法……我是看完了《我在未来等你》才来想起来看看这本书，豆芽让我想起《我在未来等你》陈小武，当我看到文后还有小武时我便不再那么深究故事的原型究竟是谁与谁了， ​ 展开全文c
2017年11月11日 22:39	rose飒	早上去上课 说停电歇着 。在阳光底下坐了一整天 把#我在未来等你# 看！完！了！！脑补了一下：刘大志应该是个微胖的嘴很损又特别天真的孩子，郝回归应该是瘦高个儿，戴个老先生是的黑框眼镜，陈小武和叮当与田甜欧小洋有点像，陈桐微笑都是很好看的人吧。作者总是想要顾及到更多群体的人。嗯，过好 ​ 展开全文c
2017年11月12日 14:32	我叫岸芷汀兰	看到公开课这一小节，陈小武回答问题这里，要笑喷了，太贴切了，以前的我们不是也有过这样吗一本好书不在于华丽的辞藻，而在于能与读者产生共鸣..《我在未来等你》@刘同 2丽水 · 碧湖 ​
2017年11月15日 16:11	木頔晨飘	不知道会不会像陈小武往电台打电话期待抽中自己那么艰难，如果此刻无论哪里落下流星，我的愿望是希望刘同能够看到。 “我想给刘同写一封信”，这样的想法好像是在读完你的新书第一章时开始有的，又或许是在打开新书时看到里面的白色信封时开始有的。但是因为不知道地址，只能以这样的方式希望你能 ​ 展开全文c
2017年11月16日 22:16	娜寶儿_大人	今天正式读完同哥@刘同 这本新书！个中感慨颇多，竟想不到用什么语言来形容！时光易逝，青春一去不复返！留下的回忆或酸或甜！或幸福或苦涩！却也是人生中不可或缺的点点！感恩过去，感恩青春里走过的，路过的，留下的人。感恩现在依然陪在身边的“微笑，陈小武，陈桐”！希望现在的“大志”一切安好， ​ 展开全文c
2017年11月17日 18:49	任大美妞就是我	36岁的郝回归遇到了17的刘大志，他以为是要改变原来的自己，可最后还是那个被改变的人。不论是微笑，陈桐，或是陈小武生命中那个该出现的人迟早都会出现，无论有多晚。后悔了，才想改变过去；强大了，才敢对未来负责@20年后的自己 ​
2017年11月18日 20:28	博毅LBY	我在未来等你，这本书我在前几天就看完了，想给你写一封信@刘同 ，希望你能看见。 这本书，怎么说呢，很好，里面讲述了叮当，微笑，大志，陈桐，陈小武，郝回归的故事。说老实话，我已经很久没有那么完整的看完一本书了，毕竟以前也不太爱看书，但我发 ​ 展开全文c
2017年11月19日 12:46	嗯呢的怪怪	中国-东盟国际马拉松防城港市全海景起跑！进行到现在、运动员们还有我们志愿者们、都辛苦啦！！大学生活里有意义的一件事让我想起了刘大志为了留住郝老师跟陈小武陈桐一起为文科班争光而坚持跑完五千米、很多事情等待着我们去做、而我们也正 ​ 展开全文c
2017年11月20日 20:05	这里任一	这本书一号晚上十一点半下单，三号拿到手。放了多半个多月昨天才开始看，两天看完。郝回归回到了自己的十七岁，却不是时光倒流，从旁观者的角度去改变十七岁自己。如今我正是十七岁，书里的内容很多都让我泪目。陈小武退学，何主任带着很多老师和学生转校，Miss Yang为了王卫国留了下来，叮当放弃了外 ​ 展开全文c
2017年11月21日 10:20	勋鹿log	偶的一本书上着课偷偷看完笑和哭自由切换着看完的 依旧很喜欢 不管是刘大志和郝回归 还是叮当 微笑 陈桐 陈小武 还是她们的父母也好 都很善良 都很美好 能回到17岁 填补那些遗憾的缺口 真好 不过能回首过往并变的更好 又何尝不是以另一种方式回到17岁自己身边去填补缺口呢？ 希望我们都变成更好 ​ 展开全文c
2017年11月21日 10:19	Summer彭丹	@程皓宸 “难过不是你和别人好 ，而是你我之间这么久的感情 ，别人那么容易就可以代替我的存在 ，对我来说没有人可以像你， 对你来说每个人都可能是我吧！” @刘同 同哥，看到程皓宸说的这段话，我突然想起些什么！哦！我记得刘大志和陈小武的一个情节，刘大志生气的是陈桐轻而易举的就走进他 ​ 展开全文c
2017年11月24日 22:54	虫儿飞月儿明	《我在未来，等你》 作者刘同在书中序言写道，“写了三百多个日夜，很辛苦，很尽兴”。想对这部凝结着三百多个日夜心血的小说说声谢谢，想对故事中的郝回归、刘大志、微笑、陈桐、叮当以及陈小武说声再见。谢谢这些真诚的文字，将我们曾走过的青春岁月，如同电影般一帧帧回放。让每一个读者， ​ 展开全文c
2017年11月28日 00:18	xiao琼呀	陈小武难得对我那么好一定要先发条微博纪念下！（童年回忆的修正贴还是以前买过的唐老鸭）还有吃太多……都跑不动了 前两天白跑了 ​
2017年12月03日 00:00	夏殇之觞	初看到封面时，以为是一本鸡汤书，可谁曾想，里面写的正是我们每个人的青春。 ——《我在未来等你》刘同刘大志、微笑、陈小武、叮当、陈桐、还有郝回归（36岁时的刘大志），他们几个在一起的日子，看似再正常不过的日常琐事，却让人羡慕不已！刘大志对微笑的爱，是轰 ​ 展开全文c
2017年12月03日 22:51	金多虾Mayday	“陈小武现在的生活是他的选择，他喜欢才是最重要的，跟其他人喜不喜欢没关系。”你喜欢什么？你选择什么？你快不快乐？ ​
2017年12月04日 12:31	啦朱朱	花了四天的时间断断续续看完了整本书，第一次这么认真的看完，意犹未尽，看完后很感动，有种难过，有种莫名其妙的感觉@刘同 刘老师，期待再次和郝回归，刘大志，微笑，陈桐，叮当，陈小武的相见 ​
2017年12月06日 00:19	三番走戉	终于看完了，还没反应过来就这么结束了。为什么是终于？或许是实在舍不得吧。总感觉意犹未尽，想知道刘大志到底追没追到郝回归，想知道周校工后来怎么样，想知道很多。书是厚厚的一本，可总感觉似未完待续。叮当，陈小武他们五个人仿佛就是我身边的朋友，书读完了就要面临分别，分别总是有些不舍的 ​ 展开全文c
2017年12月07日 22:05	逆生长smile	前言：刘大志特别讨厌陈桐有一天陈小武捡了一只狗～随口问；你叫什么呀刘大志：木桶陈小武：为什么刘大志：陈木同笑死我啦～十七岁的刘大志太搞笑啦@刘同 ​
2017年12月08日 12:52	才女kitty叮噹	su1208 终于见到传说中的大神导播@蚂蚁陈小武 向敬业优秀的小武哥致敬不管从事哪个行业 听摇滚乐的人都是牛B的 ​
2017年12月08日 12:04	张晓萌不爱听话	用了一天的时间看完了我在未来等你，当37岁的郝回归遇上了17岁的刘大志，刘大志的莽撞，微笑的懂事，陈小武的义气，陈桐的傲娇，叮当的碎碎念，一心想存钱给大志将来娶媳妇，每次大志想买什么就说大志像什么的😂 暖心大志妈妈和急诊科有担当的大志爸爸，还有精神已经错乱的周校工。一起跑5000，帮陈 ​ 展开全文c
2017年12月10日 08:13	喜欢下雪天200203	一起来看 陈小武（唯一小号） 的快手视频！ O网页链接 ​
2017年12月10日 22:05	张吉86487	一起来看 陈小武（唯一小号） 的快手视频！ O网页链接 ​
2017年12月11日 22:19	我猜你猜不猜我的人	#我在未来等你# 好多人的青春好像都会为了某个人去努力，去改变，只为变成最好的自己，在未来的每个路口拥抱你。就像刘大志对微笑所做的，尽管看似幼稚，却是那么的义无反顾；还有陈小武对叮当“傻瓜”似的爱，因为叮当的一句话，跪的膝盖骨裂也无怨无悔。 “ 每个人的青春都不一样，有的疯狂， ​ 展开全文c
2017年12月12日 12:06	用户5978948175	我发布了一个快手视频，一起来！陈小武 CHEN XW 广东爱情故事 听说很🔥 O网页链接 ​
2017年12月12日 12:03	用户5978948175	我发布了一个快手视频，一起来看！陈小武 CHEN XW O网页链接 ​
2017年12月13日 12:51	火星上飞的502女孩	《我在未来等你》@刘同 #我在未来等你# 八月到十二月，历时三个多月，看的第四本刘同的书，也算是仔仔细细地品味了这本书里每一个角色，每一段情节，每一场心灵的冲击。遇事缺乏理智却又充满热血激情的刘大志，愿意为爱情放下身段的叮当，可以为对的人默默付出一切的陈小武，敢于决定自己人生的陈桐 ​ 展开全文c
2017年12月20日 02:26	我是王银川	#25天安利刘同#青茫系列开始什么那个女生叫开开什么美丽少年什么瓶子碎了什么开一半谢一半什么离爱什么郝回归刘大志微笑叮当陈小武陈桐刚好认识你是因为文字喜欢你也是因为文字#我在未来等你# @刘同 wanan ​
2017年12月20日 14:25	流年在等6052417213	一起来看 陈小武最Shuffle 的快手视频！ O网页链接 ​
2017年12月23日 14:28	flying莎	同哥，今天在眉山书城，没有一个问题是关于书的。其实我也有个疑问，陈小武的原型是不是你买豆芽的朋友啊？也不知道同哥会不会看到@刘同 ，如果同哥看不到@郭栋楠 可不可以麻烦你帮我问下 2眉山 · 珠市街 ​
2017年12月24日 12:25	我叫刘大志啊	这首新歌好好听 K闪着泪光的决定 好想送给没有人喜欢的陈小武。好替他难过，以后他该怎么办！怕是一辈子只能卖豆芽了 ​
2017年12月24日 16:22	showlo秀秀	20171224终于在规定的时间读完了这本书，有欢笑更多的是感动，羡慕微笑有一个那么勇敢的喜欢她的刘大志，羡慕叮当有一个愿意为她默默付出的陈小武，羡慕郝回归能回到自己的17岁！有些时候不是现在的我们不够勇敢，是因为现在的我们没有了十几岁时候的那种勇气！希望我们在未来都可以成为想成为的人，希 ​ 展开全文c
2017年12月29日 08:29	你好_燕·Zi	#倾力阅读#98/100早安！今天阅读的是《我在未来等你》的第五章，这章真的是把我看哭了，看到刘大志他们为了郝回归去参加5000米长跑，并且拿到第一，然后陈小武虽然最后一名，但是也跑到了终点，他们那种不放弃的劲真的特别感动，我体会过，我知道输赢根本不是那么重要，重要的是 ​ 展开全文c
2017年12月31日 22:02	桉树墩子	2018，在天上飞着跨年-这个是广电男神兼跨年总导演陈小武 ​
01月01日 10:40	南京万事乐	校风……『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 12:59	告粉气球_	声援『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 12:56	12345狮叽打脑府	关注。『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 12:50	小师哥我饿努力生活	『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 12:45	等地铁的皮卡	『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 12:36	我爱大连噢耶	北航女博士实名举报长江学者陈小武持续性骚扰女学生！抄送@北京航空航天大学 @微言教育 ​
01月01日 12:35	我叫省心	北航女博士实名举报长江学者陈小武持续性骚扰女学生！抄送@北京航空航天大学 @微言教育 ​
01月01日 12:35	自己的独角戏自己的旅程	北航女博士实名举报长江学者陈小武持续性骚扰女学生！抄送@北京航空航天大学 @微言教育 ​
01月01日 12:24	-Forgetter-	O我要实名举报北航教授、长江学者陈小武性骚扰女学生 王尼玛帮帮忙啊，两个月前就爆出来了，被学校压下去了。一开始在知乎，后来知乎上的帖子都被他找关系删掉了，陈小武是一个国家重点实验室的领导，在实验室的所有学生，都被查了手机，看有没有在知乎发言，被要求不许“乱”说话。然而十月的时间丝毫没有影响到陈小武，他在十一月 ​ 展开全文c
01月01日 12:23	-Forgetter-	王尼玛帮帮忙啊，两个月前就爆出来了，被学校压下去了。一开始在知乎，后来知乎上的帖子都被他找关系删掉了，陈小武是一个国家重点实验室的领导，在实验室的所有学生，都被查了手机，看有没有在知乎发言，被要求不许“乱”说话。然而十月的时间丝毫没有影响到陈小武，他在十一月又被入选到什么国家人才 ​ 展开全文c
01月01日 12:22	不爱美妆的吃货不是好程序媛	听说学校新来了党委书记，是时候新官上任三把火了『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 12:01	B哥立志做个情兽	能打胜仗！『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:54	huichuan点dang	@北京航空航天大学 『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:43	better____________	#实名举报陈小武#我看这个热搜什么时候能被顶上去，还是石沉大海 ​
01月01日 14:43	Dr_Y0ung	长江学者，海龟中的战斗机 # 腾讯新闻 # 《女博士罗茜茜实名举报长江学者陈小武性骚扰女学生》O下载腾讯新闻，看7条热评 来自@腾讯新闻客户端 ​
01月01日 14:43	大大大的锅	可怕『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:42	NTL自动循环中	『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:41	呜啦啦白噪声不懂	新年重磅『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:37	N初见C	陈小武长的就是一张色脸，此人真是叫兽啊。 2绥化 · 芦河镇 ​
01月01日 14:36	Stone狄	『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:35	枫火神鸦	新年祭旗。🤓『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:31	是一只大猫猫	气愤『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:29	刘继明	女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:22	风一般的小胖纸	『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:14	绘心书院	早日把象牙塔里的人渣揪出来，这种人不配做教师。『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:14	Mr_一世繁华	#实名举报陈小武# 双一流的北航，这件事还能掩盖多久？@共青团中央@北京航空航天大学 ​
01月01日 14:14	凯文的追寻与修行	女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 - O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:11	JAMES_JOE_R	#实名举报陈小武#北航学姐实名举报，这个世界上要保护自己总是那么难，所以要逼迫自己勇敢，希望能够得到公正处理@北京航空航天大学 ​
01月01日 14:08	365-厦门大雨	女博士罗茜茜实名举报长江学者陈小武性骚扰女学生，象牙塔下的淫威。2018第一个要火的叫兽_§:з)))」∠)_ ​
01月01日 14:06	ula02146376449764	#实名举报陈小武#希望学校及相关部门彻查，清理这种败类 2上海·宜浩佳园 ​
01月01日 14:04	Dr艾伦Alan在NYC	北航女博士罗茜茜，实名举报长江学者陈小武持续性骚扰女学生！@北京航空航天大学 @微言教育 ​@北京航天航空大学 @北京航空航天大学研究生院 ​
01月01日 14:03	清南校园观察	北航女博士实名举报长江学者陈小武持续性骚扰女学生 （来源：O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生） ​
01月01日 14:03	西西里不在家	知乎上陈小武的问题确实是一片知识的荒原，希望能有个结果吧『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:02	嘟嘟不次香菜	#北航陈小武觉得这种靠舆论上热搜的事情，一般都是成功引发大家讨论和思考，但是并没有得到真正的解决，过了一段时间，大部分人也都忘了这个事情，事情解决得怎么样也就不了了之或者事情只是被曝光，但怎么解决可能没有得到重视。还是要对事件保持一个持续性的关注吧。然后关键还是要在法制方面强化 ​ 展开全文c
01月01日 14:02	风之使者面	没有哪个女生会赌上自己的名誉，我觉得可信，学姐很勇敢，希望学校不要让我们失望，社会不要让女性失望！！！『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 14:00	乌龙山的榜爷	转 // #天天快报# 《女博士罗茜茜实名举报长江学者陈小武性骚扰女学生》 O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:48	不是缪斯的Clio	希望公正处理。名声和正义之间，希望学校选择正义。🙂 『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:46	黑黑是黑猪呀	#实名举报陈小武#人渣是不配做导师的 ​
01月01日 16:44	粒粒的草鞋	这就是高校的科研生态？『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:30	Melo迪	这世界败类怎么总是那么多O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:28	罗罗moi	如果这一切都是真的，那高校的整顿真的刻不容缓。『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:25	咯噔咯噔的	『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:23	键盘破坏王	『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:20	Ming小Xu	北航女博士实名举报长江学者陈小武持续性骚扰女学生！抄送@北京航空航天大学 ​
01月01日 16:17	a啊嗄吖	#实名举报陈小武#为什么总有这种人渣 ​
01月01日 16:14	如是然也然也	对老匹夫要严惩不贷。如此下流无耻，伤风败俗的事情要杜绝在校园发生！！！『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:14	樛木56755	小武哥新年快乐『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
